site_number,value_represented,latitude,longitude,sample_duration,sample_frequency,method_type,sample_measurement|median,sample_measurement|mean,sample_measurement|max,sample_measurement|sum,sample_measurement|count,Full Date|min,Full Date|max,envelope
1,VILLAGE GARAGE,41.670992,-87.732457,1 HOUR,HOURLY,Non-FRM,5.8,6.97397260273973,249.3,18327.60000000001,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.74912366666666 41.65432533333333, -87.71579033333333 41.65432533333333, -87.71579033333333 41.68765866666666, -87.74912366666666 41.68765866666666, -87.74912366666666 41.65432533333333))"
1,VILLAGE GARAGE,41.670992,-87.732457,24 HOUR,EVERY 6TH DAY,FRM,8.55,8.35,14.7,116.9,17.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.74912366666666 41.65432533333333, -87.71579033333333 41.65432533333333, -87.71579033333333 41.68765866666666, -87.74912366666666 41.68765866666666, -87.74912366666666 41.65432533333333))"
1016,VILLAGE HALL,41.80118,-87.832349,24 HOUR,EVERY 12TH DAY,FRM,9.8,9.876923076923077,15.6,128.4,16.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.84901566666666 41.78451333333334, -87.81568233333333 41.78451333333334, -87.81568233333333 41.81784666666667, -87.84901566666666 41.81784666666667, -87.84901566666666 41.78451333333334))"
1016,VILLAGE HALL,41.80118,-87.832349,24 HOUR,EVERY 3RD DAY,FRM,9.6,9.681250000000002,27.0,309.80000000000007,33.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.84901566666666 41.78451333333334, -87.81568233333333 41.78451333333334, -87.81568233333333 41.81784666666667, -87.84901566666666 41.81784666666667, -87.84901566666666 41.78451333333334))"
119,Kingery Near Road #1,41.57862,-87.557406,1 HOUR,HOURLY,FEM,10.1,10.811183533447695,247.6,31514.600000000028,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.57407266666667 41.56195333333334, -87.54073933333333 41.56195333333334, -87.54073933333333 41.59528666666667, -87.57407266666667 41.59528666666667, -87.57407266666667 41.56195333333334))"
22,WASHINGTON HS,41.687165,-87.539315,24 HOUR,EVERY 12TH DAY,FRM,10.9,10.65,16.7,85.2,20.0,2020-06-02 00:00,2020-09-03 00:00,"POLYGON ((-87.55598166666667 41.67049833333333, -87.52264833333334 41.67049833333333, -87.52264833333334 41.70383166666667, -87.55598166666667 41.70383166666667, -87.55598166666667 41.67049833333333))"
22,WASHINGTON HS,41.687165,-87.539315,24 HOUR,EVERY 3RD DAY,FRM,10.45,10.14090909090909,22.3,223.1,36.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.55598166666667 41.67049833333333, -87.52264833333334 41.67049833333333, -87.52264833333334 41.70383166666667, -87.55598166666667 41.70383166666667, -87.55598166666667 41.67049833333333))"
3103,IEPA TRAILER,41.965193,-87.876265,24 HOUR,EVERY 3RD DAY,FRM,9.7,10.12258064516129,20.5,313.8,31.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.89293166666667 41.94852633333333, -87.85959833333334 41.94852633333333, -87.85959833333334 41.98185966666667, -87.89293166666667 41.98185966666667, -87.89293166666667 41.94852633333333))"
3301,GRAVES ES,41.782766,-87.805377,24 HOUR,EVERY 3RD DAY,FRM,8.4,9.44,26.6,283.2,33.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.82204366666666 41.76609933333334, -87.78871033333333 41.76609933333334, -87.78871033333333 41.79943266666667, -87.82204366666666 41.79943266666667, -87.82204366666666 41.76609933333334))"
3301,GRAVES ES,41.782766,-87.805377,24 HOUR,EVERY 6TH DAY,FRM,7.4,7.720000000000001,12.7,77.2,17.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.82204366666666 41.76609933333334, -87.78871033333333 41.76609933333334, -87.78871033333333 41.79943266666667, -87.82204366666666 41.79943266666667, -87.82204366666666 41.76609933333334))"
4007,REGIONAL OFFICE BUILDING,42.060285,-87.863225,1 HOUR,HOURLY,FEM,7.3,7.855179487179499,52.3,22976.400000000034,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.87989166666667 42.04361833333333, -87.84655833333333 42.04361833333333, -87.84655833333333 42.07695166666667, -87.87989166666667 42.07695166666667, -87.87989166666667 42.04361833333333))"
4201,NORTHBROOK WATER PLANT,42.139996,-87.799227,1 HOUR,HOURLY,FEM,6.9,7.409486931268155,26.7,15308.00000000001,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.81589366666667 42.12332933333333, -87.78256033333334 42.12332933333333, -87.78256033333334 42.15666266666666, -87.81589366666667 42.15666266666666, -87.81589366666667 42.12332933333333))"
4201,NORTHBROOK WATER PLANT,42.139996,-87.799227,24 HOUR,EVERY 3RD DAY,FRM,7.6,7.303703703703705,12.7,197.20000000000002,31.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.81589366666667 42.12332933333333, -87.78256033333334 42.12332933333333, -87.78256033333334 42.15666266666666, -87.81589366666667 42.15666266666666, -87.81589366666667 42.12332933333333))"
52,MAYFAIR PUMP STATION,41.965485,-87.749928,24 HOUR,EVERY 3RD DAY,FRM,10.25,9.704166666666667,17.0,232.90000000000003,34.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.76659466666666 41.94881833333334, -87.73326133333333 41.94881833333334, -87.73326133333333 41.98215166666667, -87.76659466666666 41.98215166666667, -87.76659466666666 41.94881833333334))"
57,SPRINGFIELD PUMP STATION,41.912739,-87.722673,1 HOUR,HOURLY,Non-FRM,10.1,11.16294227188084,183.7,29972.50000000006,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.73933966666667 41.89607233333334, -87.70600633333333 41.89607233333334, -87.70600633333333 41.92940566666667, -87.73933966666667 41.92940566666667, -87.73933966666667 41.89607233333334))"
57,SPRINGFIELD PUMP STATION,41.912739,-87.722673,24 HOUR,EVERY 6TH DAY,FRM,8.2,8.445454545454547,11.5,92.90000000000002,16.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.73933966666667 41.89607233333334, -87.70600633333333 41.89607233333334, -87.70600633333333 41.92940566666667, -87.73933966666667 41.92940566666667, -87.73933966666667 41.89607233333334))"
6005,LIBERTY SCHOOL,41.864426,-87.748902,1 HOUR,HOURLY,Non-FRM,8.8,9.443683409436847,118.2,24818.000000000033,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.76556866666667 41.84775933333334, -87.73223533333334 41.84775933333334, -87.73223533333334 41.88109266666667, -87.76556866666667 41.88109266666667, -87.76556866666667 41.84775933333334))"
6005,LIBERTY SCHOOL,41.864426,-87.748902,24 HOUR,EVERY 6TH DAY,FRM,8.7,9.9,21.9,99.0,18.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.76556866666667 41.84775933333334, -87.73223533333334 41.84775933333334, -87.73223533333334 41.88109266666667, -87.76556866666667 41.88109266666667, -87.76556866666667 41.84775933333334))"
76,COM ED MAINTENANCE BLDG,41.7514,-87.713488,1 HOUR,HOURLY,Non-FRM,8.9,9.817156693185755,233.5,28381.40000000002,2928.0,2020-06-01 00:00,2020-09-30 23:00,"POLYGON ((-87.73015466666666 41.73473333333333, -87.69682133333333 41.73473333333333, -87.69682133333333 41.76806666666666, -87.73015466666666 41.76806666666666, -87.73015466666666 41.73473333333333))"
76,COM ED MAINTENANCE BLDG,41.7514,-87.713488,24 HOUR,EVERY 6TH DAY,FRM,9.4,8.893333333333333,14.5,133.39999999999998,19.0,2020-06-02 00:00,2020-08-31 00:00,"POLYGON ((-87.73015466666666 41.73473333333333, -87.69682133333333 41.73473333333333, -87.69682133333333 41.76806666666666, -87.73015466666666 41.76806666666666, -87.73015466666666 41.73473333333333))"
